"","control.1","control.2","control.3","E2.treat.1","E2.treat.2","E2.treat.3"
"POLR3K",61.3185119829807,61.7895267729459,60.7619820311371,60.173593980726,61.9180669179508,57.7963354302475
"POLRMT",46.6778560319881,47.7448071549593,49.8454225475769,52.4809470229627,52.163412780567,50.6814937042897
"POM121",66.4169051141499,67.8707455766101,69.6874709170669,75.9691624006666,75.0628631489827,78.7960885421053
"POM121C",52.2240809922465,54.0794100754429,57.9126913483211,59.1137181776564,58.0162052629973,63.1246309959427
"POMC",1.24014968055467,1.23072285312253,1.51046734992657,0.991496719000599,1.18335148551869,0.940287452769753
"POMGNT1",73.9955976064284,80.0693809149128,79.2308782643302,75.8665937745631,75.6385476554513,73.5304788065947
"POMGNT2",75.339093093696,80.9743241892676,78.8189326234411,80.755698285497,80.8516906862498,74.7528524951954
"POMK",13.7794408950519,12.3796239931737,14.6583990549692,15.8639475040096,15.5754641472325,18.3982911591948
"POMP",98.3163107861949,89.2998023133318,88.3623399707045,83.9695152367404,86.8963780041696,83.5602116361387
"POMT1",47.0223420543644,48.1067844647013,48.3692840010577,47.5918425120287,48.4214634885215,49.5218058458737
"POMT2",66.9336341477144,70.7303663235713,76.6218892053661,72.5843977392507,75.4466528199618,75.7871686932421
"POMZP3",1.65353290740622,1.59270016286445,1.47613854651915,0.923117634931592,1.56714115649772,1.47311700933928
"PON2",45.8166409760474,45.428152372611,46.8244878477237,46.3952085408211,43.815987436773,46.6696005724721
"POP1",31.0726392183419,30.2975008253988,27.9093171702342,33.1296662314338,29.5518046653856,31.1862005168635
"POP4",62.3519700501096,60.6311993817717,55.6469903234312,55.284489469792,54.945887895165,52.5934115249215
"POP5",25.9742460871727,25.1212252960893,24.0644911886029,24.3087643865319,23.2192750942316,21.689297243889
"POP7",50.9150341072166,51.6903598311463,48.3349551976503,49.4038882398574,51.2039386031195,46.4188572517335
"POPDC3",15.3985252002204,15.0582560852639,14.1434670038579,15.1801566633195,15.8952888730483,15.4520571405163
"POR",103.03576929275,103.127335545473,107.002880220935,101.269423506199,109.571951064514,99.9838991445171
"PORCN",10.3001320690513,10.4611442515415,11.2941763210419,11.4534965815586,9.81861908254695,10.4371907257443
"POT1",73.9267004019532,71.6353095979261,68.2799899773626,65.8832475004881,68.7303335778287,65.0992346467592
