"GeneName","rank"
"PODXL",-2.31361193819299
"TULP4",-2.31284619027134
"MIR3648-1",-2.31226447818691
"MBNL2",-2.31091806248457
"CDR2L",-2.30500015669556
"MBD6",-2.30289292419684
"STX5",-2.30081749342918
"GATA6",-2.2988432952543
"KIAA1109",-2.2983008549961
"ATRN",-2.29784281300228
"TPCN1",-2.29764602424794
"TSC2",-2.29584071881905
"CACNG8",-2.29562782550838
"NFX1",-2.29552229183098
"ZNF618",-2.2937416160712
"GRAMD1A",-2.29230817680633
"DDAH1",-2.29151457083893
"ANKAR",-2.2908015609018
"SYNE1",-2.2882605348358
"AMIGO3",-2.28664407198881
"MTMR4",-2.28486834773845
"PDIA3P1",-2.28126545566055
"PDZD8",-2.28003890155671
"PHLDA2",-2.27852426165664
"HYOU1",-2.27732879679393
"GLB1L3",-2.27642810266444
